Site,Phase,Duration (s),Start,End,Gapped,date,start_time,day
13080,B,15,2021-01-10T00:00:17-05:00[America/New_York],2021-01-10T00:00:32-05:00[America/New_York],Yes,2021-01-10,17,Sunday
13080,<A>,98,2021-01-10T00:00:32-05:00[America/New_York],2021-01-10T00:02:10-05:00[America/New_York],NA,2021-01-10,32,Sunday
13080,B,14,2021-01-10T00:02:10-05:00[America/New_York],2021-01-10T00:02:24-05:00[America/New_York],Yes,2021-01-10,130,Sunday
13080,<A>,29,2021-01-10T00:02:24-05:00[America/New_York],2021-01-10T00:02:53-05:00[America/New_York],Yes,2021-01-10,144,Sunday
13080,B,14,2021-01-10T00:02:53-05:00[America/New_York],2021-01-10T00:03:07-05:00[America/New_York],Yes,2021-01-10,173,Sunday
13080,<A>,19,2021-01-10T00:03:07-05:00[America/New_York],2021-01-10T00:03:26-05:00[America/New_York],Yes,2021-01-10,187,Sunday
13080,B,14,2021-01-10T00:03:26-05:00[America/New_York],2021-01-10T00:03:40-05:00[America/New_York],Yes,2021-01-10,206,Sunday
13080,<A>,68,2021-01-10T00:03:40-05:00[America/New_York],2021-01-10T00:04:48-05:00[America/New_York],NA,2021-01-10,220,Sunday
13080,B,14,2021-01-10T00:04:48-05:00[America/New_York],2021-01-10T00:05:02-05:00[America/New_York],Yes,2021-01-10,288,Sunday
13080,<A>,194,2021-01-10T00:05:02-05:00[America/New_York],2021-01-10T00:08:16-05:00[America/New_York],Yes,2021-01-10,302,Sunday
13080,B,14,2021-01-10T00:08:16-05:00[America/New_York],2021-01-10T00:08:30-05:00[America/New_York],Yes,2021-01-10,496,Sunday
13080,<A>,150,2021-01-10T00:08:30-05:00[America/New_York],2021-01-10T00:11:00-05:00[America/New_York],NA,2021-01-10,510,Sunday
13080,B,14,2021-01-10T00:11:00-05:00[America/New_York],2021-01-10T00:11:14-05:00[America/New_York],Yes,2021-01-10,660,Sunday
13080,<A>,91,2021-01-10T00:11:14-05:00[America/New_York],2021-01-10T00:12:45-05:00[America/New_York],NA,2021-01-10,674,Sunday
13080,B,14,2021-01-10T00:12:45-05:00[America/New_York],2021-01-10T00:12:59-05:00[America/New_York],Yes,2021-01-10,765,Sunday
13080,<A>,31,2021-01-10T00:12:59-05:00[America/New_York],2021-01-10T00:13:30-05:00[America/New_York],Yes,2021-01-10,779,Sunday
13080,B,15,2021-01-10T00:13:30-05:00[America/New_York],2021-01-10T00:13:45-05:00[America/New_York],Yes,2021-01-10,810,Sunday
13080,<A>,392,2021-01-10T00:13:45-05:00[America/New_York],2021-01-10T00:20:17-05:00[America/New_York],Yes,2021-01-10,825,Sunday
13080,B,14,2021-01-10T00:20:17-05:00[America/New_York],2021-01-10T00:20:31-05:00[America/New_York],Yes,2021-01-10,1217,Sunday
13080,<A>,37,2021-01-10T00:20:31-05:00[America/New_York],2021-01-10T00:21:08-05:00[America/New_York],Yes,2021-01-10,1231,Sunday
13080,B,14,2021-01-10T00:21:08-05:00[America/New_York],2021-01-10T00:21:22-05:00[America/New_York],Yes,2021-01-10,1268,Sunday
13080,<A>,86,2021-01-10T00:21:22-05:00[America/New_York],2021-01-10T00:22:48-05:00[America/New_York],NA,2021-01-10,1282,Sunday
13080,B,14,2021-01-10T00:22:48-05:00[America/New_York],2021-01-10T00:23:02-05:00[America/New_York],Yes,2021-01-10,1368,Sunday
13080,<A>,18,2021-01-10T00:23:02-05:00[America/New_York],2021-01-10T00:23:20-05:00[America/New_York],Yes,2021-01-10,1382,Sunday
13080,C,12,2021-01-10T00:23:20-05:00[America/New_York],2021-01-10T00:23:32-05:00[America/New_York],Yes,2021-01-10,1400,Sunday
13080,<A>,43,2021-01-10T00:23:32-05:00[America/New_York],2021-01-10T00:24:15-05:00[America/New_York],Yes,2021-01-10,1412,Sunday
13080,B,15,2021-01-10T00:24:15-05:00[America/New_York],2021-01-10T00:24:30-05:00[America/New_York],Yes,2021-01-10,1455,Sunday
13080,<A>,140,2021-01-10T00:24:30-05:00[America/New_York],2021-01-10T00:26:50-05:00[America/New_York],Yes,2021-01-10,1470,Sunday
13080,B,15,2021-01-10T00:26:50-05:00[America/New_York],2021-01-10T00:27:05-05:00[America/New_York],Yes,2021-01-10,1610,Sunday
13080,<A>,97,2021-01-10T00:27:05-05:00[America/New_York],2021-01-10T00:28:42-05:00[America/New_York],NA,2021-01-10,1625,Sunday
13080,B,14,2021-01-10T00:28:42-05:00[America/New_York],2021-01-10T00:28:56-05:00[America/New_York],Yes,2021-01-10,1722,Sunday
13080,<A>,301,2021-01-10T00:28:56-05:00[America/New_York],2021-01-10T00:33:57-05:00[America/New_York],Yes,2021-01-10,1736,Sunday
13080,B,14,2021-01-10T00:33:57-05:00[America/New_York],2021-01-10T00:34:11-05:00[America/New_York],Yes,2021-01-10,2037,Sunday
