Signal ID,SBL,SBT,SBR,EBL ,EBT,EBR,NBL,NBT,NBR,WBL,WBT,WBR,EBT_OLB,WBT_OLB
10012,,2,2,4,4,4,,6,6,3,3,3,,
10015,,6,6,4,4,4,,2,2,3,3,3,,
10017,,6,6,8,8,8,,2,2,4,4,4,,
10018,,2,2,8,8,8,,6,6,4,4,4,,
10019,,6,6,4,4,4,,2,2,3,3,3,,
10020,,6,6,7,4,4,,2,2,3,,3,,
10021,,6,6,3,8,8,,2,2,7,4,4,,
10022,,2,2,8,,8,,6,6,4,4,4,,
10023,,6,6,3,8,8,,2,2,7,4,4,,
10024,,6,6,3,3,3,,2,2,4,4,4,,
10025,,2,2,3,8,8,,6,6,7,4,4,,
10026,,6,6,3,8,8,,2,2,7,4,4,,
10027,,6,6,8,8,8,,2,2,4,4,4,,
10028,,6,6,8,8,8,,2,2,4,,4,,
10029,,6,6,3,8,8,,2,2,4,4,4,,
10030,,6,6,8,8,8,,2,2,4,,4,,
10031,,6,6,3,3,3,,2,2,4,4,4,,
10032,,6,6,7,4,4,,2,2,3,8,8,,
10033,,6,6,7,4,4,,2,2,3,8,8,,
10034,,6,6,7,4,4,,2,2,3,8,8,,
10035,,6,6,8,,8,,2,2,,,,,
10036,,6,6,3,,8,,2,2,4,4,4,,
10040,,6,6,3,3,3,,2,2,4,4,4,,
10041,,6,6,8,8,8,,2,2,4,4,4,,
10042,,6,6,3,3,3,,2,2,4,4,4,,
10043,,6,6,4,4,4,,2,2,8,8,8,,
10044,,6,6,4,,4,,2,2,,,,,
10045,,6,6,4,4,4,,2,2,8,8,8,,
10046,,6,6,8,,8,,2,2,,,,,
10047,,6,6,,4,4,,2,2,,8,8,,
10048,,6,6,,4,4,,2,2,,8,8,,
10049,6,6,6,4,4,4,2,2,2,3,8,8,,
10050,,6,6,,4,4,,2,2,,8,8,,
10051,,6,6,7,4,4,,2,2,3,8,8,,
10052,,6,6,,8,8,,2,2,,4,4,10,9
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Signal ID,SBL,SBT,SBR,EBL ,EBT,EBR,NBL,NBT,NBR,WBL,WBT,WBR,EBT_OLB,WBT_OLB
10012,,,,,,,,,,,,,,
10015,,,,,,,,,,,,,,
10017,,,,,,,,,,,,,,
10018,,,,,,,,,,,,,,
10019,,,,,,,,,,,,,,
10020,,,,,,,,,,,,,,
10021,,,,,,,,,,,,,,
10022,,,,,,,,,,,,,,
10023,,,,,,,,,,,,,,
10024,,,,,,,,,,,,,,
10025,,,,,,,,,,,,,,
10026,,,,,,,,,,,,,,
10027,,,,,,,,,,,,,,
10028,,,,,,,,,,,,,,
10029,,,,,,,,,,,,,,
10030,,,,,,,,,,,,,,
10031,,,,,,,,,,,,,,
10032,,,,,,,,,,,,,,
10033,,,,,,,,,,,,,,
10034,,,,,,,,,,,,,,
10035,,,,,,,,,,,,,,
10036,,,,,,,,,,,,,,
10040,,,,,,,,,,,,,,
10041,,,,,,,,,,,,,,
10042,,,,,,,,,,,,,,
10043,,,,,,,,,,,,,,
10044,,,,,,,,,,,,,,
10045,,,,,,,,,,,,,,
10046,,,,,,,,,,,,,,
10047,,,,,,,,,,,,,,
10048,,,,,,,,,,,,,,
10049,,,,,,,,,,,,,,
10050,,,,,,,,,,,,,,
10051,,,,,,,,,,,,,,
10052,,,,,,,,,,,,,,
