Site,Phase Name,Phase Number
10012,A,2
10012,A,6
10012,A,2
10012,A,6
10012,B,3
10012,C,4
10015,A,2
10015,A,6
10015,B,3
10015,C,4
10017,A,2
10017,A,6
10017,A,6
10017,A,2
10017,A,2
10017,B,4
10017,B,8
10018,A,2
10018,A,6
10018,A,6
10018,B,4
10018,B,8
10019,A,2
10019,A,6
10019,A,6
10019,B,3
10019,C,4
10020,A,6
10020,A,2
10020,A,6
10020,A,2
10020,B,3
10020,C,7
10020,C,4
10021,A,6
10021,A,2
10021,A,6
10021,A,2
10021,B,3
10021,B,7
10021,C,8
10021,C,4
10022,A,2
10022,A,6
10022,A,6
10022,A,6
10022,B,8
10022,B,4
10023,A,6
10023,A,2
10023,A,6
10023,A,6
10023,B,3
10023,B,7
10023,C,8
10023,C,4
10024,A,6
10024,A,2
10024,A,2
10024,A,2
10024,B,3
10024,C,4
10025,A,2
10025,A,6
10025,A,2
10025,A,2
10025,B,3
10025,B,7
10025,C,8
10025,C,4
10026,A,6
10026,A,2
10026,A,6
10026,A,2
10026,B,3
10026,B,7
10026,C,8
10026,C,4
10027,A,6
10027,A,2
10027,A,2
10027,A,6
10027,B,8
10027,B,4
10028,A,6
10028,A,2
10028,A,2
10028,A,6
10028,B,8
10028,B,4
10029,A,6
10029,A,2
10029,A,2
10029,A,6
10029,B,3
10029,C,8
10029,C,4
10030,A,6
10030,A,2
10030,A,2
10030,A,6
10030,B,8
10030,B,4
10031,A,6
10031,A,2
10031,A,2
10031,A,6
10031,B,3
10031,C,4
10032,A,6
10032,A,2
10032,A,2
10032,A,6
10032,A,6
10032,A,2
10032,B,7
10032,B,3
10032,C,4
10032,C,8
10033,A,6
10033,A,2
10033,A,2
10033,A,6
10033,B,7
10033,B,3
10033,C,4
10033,C,8
10034,A,6
10034,A,2
10034,A,2
10034,A,6
10034,B,7
10034,B,3
10034,C,4
10034,C,8
10035,A,6
10035,A,2
10035,A,2
10035,A,6
10035,B,8
10036,A,6
10036,A,2
10036,A,2
10036,B,3
10036,C,8
10036,B,8
10036,C,4
10040,A,2
10040,A,6
10040,A,2
10040,A,6
10040,B,3
10040,C,4
10041,A,2
10041,A,6
10041,A,6
10041,A,2
10041,B,4
10041,B,8
10042,A,2
10042,A,6
10042,A,6
10042,A,2
10042,B,3
10042,C,4
10043,A,2
10043,A,6
10043,A,6
10043,A,2
10043,B,4
10043,C,8
10044,A,2
10044,A,6
10044,A,2
10044,A,6
10044,B,4
10045,A,2
10045,A,6
10045,A,2
10045,A,6
10045,B,4
10045,C,8
10046,A,2
10046,A,6
10046,A,2
10046,A,6
10046,B,8
10047,A,2
10047,A,6
10047,A,2
10047,A,6
10047,B,4
10047,B,8
10048,A,2
10048,A,6
10048,A,6
10048,A,2
10048,B,4
10048,B,8
10048,B,4
10049,A,2
10049,A,6
10049,B,3
10049,C,4
10049,B,8
10049,C,8
10049,C,8
10050,A,2
10050,A,6
10050,A,2
10050,A,6
10050,B,4
10050,B,8
10051,A,2
10051,A,6
10051,A,2
10051,A,6
10051,B,3
10051,C,3
10051,B,7
10051,D,4
10051,D,8
10052,A,2
10052,A,6
10052,A,2
10052,A,6
10052,B,4
10052,B,8
10052,B,9
10052,B,1
