Site,Approach,Detector,Route_type,Detector_type,Phase,Approach_Lanes
10012,NB,6,Main,Image,A,3
10012,NB,7,Main,Image,A,3
10012,NB,8,Main,Image,A,3
10012,SB,1,Main,Image,A,2
10012,SB,2,Main,Image,A,2
10012,EB,3,Side,Image,C,3
10012,EB,4,Side,Image,C,3
10012,EB,5,Side,Image,C,3
10012,WB,9,Side,Image,B,3
10012,WB,10,Side,Image,B,3
10012,WB,11,Side,Image,B,3
10012,SB,17,Main,Midblock,A,2
10012,SB,18,Main,Midblock,A,2
10015,SB,1,Main,Image,A,3
10015,SB,2,Main,Image,A,3
10015,SB,3,Main,Image,A,3
10015,NB,7,Main,Image,A,4
10015,NB,8,Main,Image,A,4
10015,NB,9,Main,Image,A,4
10015,NB,10,Main,Image,A,4
10015,NB,21,Main,Midblock,A,4
10015,NB,22,Main,Midblock,A,4
10015,NB,23,Main,Midblock,A,4
10015,NB,24,Main,Midblock,A,4
10015,EB,4,Side,Image,C,3
10015,EB,5,Side,Image,C,3
10015,EB,6,Side,Image,C,3
10015,WB,11,Side,Image,B,3
10015,WB,12,Side,Image,B,3
10015,WB,13,Side,Image,B,3
10017,SB,1,Main,Image,A,3
10017,SB,2,Main,Image,A,3
10017,SB,3,Main,Image,A,3
10017,NB,8,Main,Image,A,3
10017,NB,9,Main,Image,A,3
10017,NB,10,Main,Image,A,3
10017,NB,21,Main,Midblock,A,3
10017,NB,22,Main,Midblock,A,3
10017,NB,23,Main,Midblock,A,3
10017,EB,5,Side,Image,B,3
10017,EB,6,Side,Image,B,3
10017,EB,7,Side,Image,B,3
10017,WB,12,Side,Image,B,3
10017,WB,13,Side,Image,B,3
10017,WB,14,Side,Image,B,3
10018,SB,1,Main,Image,A,3
10018,SB,2,Main,Image,A,3
10018,SB,3,Main,Image,A,3
10018,NB,6,Main,Image,A,3
10018,NB,7,Main,Image,A,3
10018,NB,8,Main,Image,A,3
10018,EB,4,Side,Image,B,2
10018,EB,5,Side,Image,B,2
10018,WB,9,Side,Image,B,1
10019,SB,1,Main,Image,A,3
10019,SB,2,Main,Image,A,3
10019,SB,3,Main,Image,A,3
10019,NB,6,Main,Image,A,3
10019,NB,7,Main,Image,A,3
10019,NB,8,Main,Image,A,3
10019,EB,4,Side,Image,C,2
10019,EB,5,Side,Image,C,2
10019,WB,9,Side,Image,B,2
10019,WB,10,Side,Image,B,2
10020,SB,1,Main,Image,A,3
10020,SB,2,Main,Image,A,3
10020,SB,3,Main,Image,A,3
10020,SB,17,Main,Midblock,A,3
10020,SB,18,Main,Midblock,A,3
10020,SB,19,Main,Midblock,A,3
10020,NB,7,Main,Image,A,3
10020,NB,8,Main,Image,A,3
10020,NB,9,Main,Image,A,3
10020,NB,21,Main,Midblock,A,3
10020,NB,22,Main,Midblock,A,3
10020,NB,23,Main,Midblock,A,3
10020,EB,4,Side,Image,C,3
10020,EB,5,Side,Image,C,3
10020,EB,6,Side,Image,C,3
10020,WB,10,Side,Image,B,2
10020,WB,11,Side,Image,B,2
10021,SB,1,Main,Image,A,3
10021,SB,2,Main,Image,A,3
10021,SB,3,Main,Image,A,3
10021,SB,17,Main,Midblock,A,3
10021,SB,18,Main,Midblock,A,3
10021,SB,19,Main,Midblock,A,3
10021,NB,7,Main,Image,A,3
10021,NB,8,Main,Image,A,3
10021,NB,9,Main,Image,A,3
10021,NB,21,Main,Midblock,A,3
10021,NB,22,Main,Midblock,A,3
10021,NB,23,Main,Midblock,A,3
10021,EB,4,Side,Image,B,3
10021,EB,5,Side,Image,C,3
10021,EB,6,Side,Image,C,3
10021,WB,10,Side,Image,B,2
10021,WB,11,Side,Image,C,2
10022,SB,1,Main,Image,A,3
10022,SB,2,Main,Image,A,3
10022,SB,3,Main,Image,A,3
10022,NB,6,Main,Image,A,3
10022,NB,7,Main,Image,A,3
10022,NB,8,Main,Image,A,3
10022,NB,21,Main,Midblock,A,3
10022,NB,22,Main,Midblock,A,3
10022,NB,23,Main,Midblock,A,3
10022,EB,4,Side,Image,B,2
10022,EB,5,Side,Image,B,2
10022,WB,9,Side,Image,B,2
10022,WB,10,Side,Image,B,2
10023,SB,1,Main,Image,A,4
10023,SB,2,Main,Image,A,4
10023,SB,3,Main,Image,A,4
10023,SB,4,Main,Image,A,4
10023,NB,8,Main,Image,A,4
10023,NB,9,Main,Image,A,4
10023,NB,10,Main,Image,A,4
10023,NB,11,Main,Image,A,4
10023,EB,5,Side,Image,B,3
10023,EB,6,Side,Image,C,3
10023,EB,7,Side,Image,C,3
10023,WB,12,Side,Image,B,3
10023,WB,13,Side,Image,C,3
10023,WB,14,Side,Image,C,3
10024,SB,1,Main,Image,A,3
10024,SB,2,Main,Image,A,3
10024,SB,3,Main,Image,A,3
10024,NB,8,Main,Image,A,3
10024,NB,9,Main,Image,A,3
10024,NB,10,Main,Image,A,3
10024,EB,4,Side,Image,B,4
10024,EB,5,Side,Image,B,4
10024,EB,6,Side,Image,B,4
10024,EB,7,Side,Image,B,4
10024,WB,11,Side,Image,C,4
10024,WB,12,Side,Image,C,4
10024,WB,13,Side,Image,C,4
10024,WB,14,Side,Image,C,4
10025,SB,1,Main,Image,A,2
10025,SB,2,Main,Image,A,2
10025,SB,17,Main,Midblock,A,2
10025,SB,18,Main,Midblock,A,2
10025,NB,6,Main,Image,A,2
10025,NB,7,Main,Image,A,2
10025,EB,3,Side,Image,B,3
10025,EB,4,Side,Image,C,3
10025,EB,5,Side,Image,C,3
10025,WB,8,Side,Image,B,3
10025,WB,9,Side,Image,C,3
10025,WB,10,Side,Image,C,3
10026,SB,1,Main,Image,A,2
10026,SB,2,Main,Image,A,2
10026,SB,17,Main,Midblock,A,2
10026,SB,18,Main,Midblock,A,2
10026,NB,6,Main,Image,A,2
10026,NB,7,Main,Image,A,2
10026,NB,21,Main,Midblock,A,2
10026,NB,22,Main,Midblock,A,2
10026,EB,3,Side,Image,B,3
10026,EB,4,Side,Image,C,3
10026,EB,5,Side,Image,C,3
10026,WB,8,Side,Image,B,3
10026,WB,9,Side,Image,C,3
10026,WB,10,Side,Image,C,3
10027,SB,1,Main,Image,A,3
10027,SB,2,Main,Image,A,3
10027,SB,3,Main,Image,A,3
10027,NB,6,Main,Image,A,2
10027,NB,7,Main,Image,A,2
10027,NB,21,Main,Midblock,A,2
10027,NB,22,Main,Midblock,A,2
10027,EB,4,Side,Image,B,2
10027,EB,5,Side,Image,B,2
10027,WB,8,Side,Image,B,2
10027,WB,9,Side,Image,B,2
10028,SB,1,Main,Image,A,2
10028,SB,2,Main,Image,A,2
10028,NB,5,Main,Image,A,3
10028,NB,6,Main,Image,A,3
10028,NB,7,Main,Image,A,3
10028,EB,3,Side,Image,B,2
10028,EB,4,Side,Image,B,2
10028,WB,8,Side,Image,B,2
10028,WB,9,Side,Image,B,2
10029,SB,1,Main,Image,A,3
10029,SB,2,Main,Image,A,3
10029,SB,3,Main,Image,A,3
10029,NB,6,Main,Image,A,2
10029,NB,7,Main,Image,A,2
10029,EB,4,Side,Image,B,2
10029,EB,5,Side,Image,C,2
10029,WB,8,Side,Image,B,2
10029,WB,9,Side,Image,C,2
10030,SB,1,Main,Image,A,2
10030,SB,2,Main,Image,A,2
10030,NB,5,Main,Image,A,2
10030,NB,6,Main,Image,A,2
10030,EB,3,Side,Image,B,2
10030,EB,4,Side,Image,B,2
10030,WB,7,Side,Image,B,1
10031,SB,1,Main,Image,A,2
10031,SB,2,Main,Image,A,2
10031,SB,17,Main,Midblock,A,2
10031,SB,18,Main,Midblock,A,2
10031,NB,6,Main,Image,A,2
10031,NB,7,Main,Image,A,2
10031,EB,3,Side,Image,B,3
10031,EB,4,Side,Image,C,3
10031,EB,5,Side,Image,C,3
10031,WB,8,Side,Image,B,2
10031,WB,9,Side,Image,C,2
10032,SB,1,Main,Image,A,3
10032,SB,2,Main,Image,A,3
10032,SB,3,Main,Image,A,3
10032,NB,9,Main,Image,A,3
10032,NB,10,Main,Image,A,3
10032,NB,11,Main,Image,A,3
10032,NB,21,Main,Midblock,A,2
10032,NB,22,Main,Midblock,A,2
10032,EB,4,Side,Image,B,5
10032,EB,5,Side,Image,B,5
10032,EB,6,Side,Image,C,5
10032,EB,7,Side,Image,C,5
10032,EB,8,Side,Image,C,5
10032,WB,12,Side,Image,B,4
10032,WB,13,Side,Image,B,4
10032,WB,14,Side,Image,C,4
10032,WB,15,Side,Image,C,4
10033,SB,1,Main,Image,A,4
10033,SB,2,Main,Image,A,4
10033,SB,3,Main,Image,A,4
10033,SB,4,Main,Image,A,4
10033,NB,10,Main,Image,A,3
10033,NB,11,Main,Image,A,3
10033,EB,5,Side,Image,B,5
10033,EB,6,Side,Image,B,5
10033,EB,7,Side,Image,C,5
10033,EB,8,Side,Image,C,5
10033,EB,9,Side,Image,C,5
10033,WB,12,Side,Image,B,5
10033,WB,13,Side,Image,B,5
10033,WB,14,Side,Image,C,5
10033,WB,15,Side,Image,C,5
10033,WB,16,Side,Image,C,5
10034,SB,1,Main,Image,A,4
10034,SB,2,Main,Image,A,4
10034,SB,3,Main,Image,A,4
10034,SB,4,Main,Image,A,4
10034,SB,17,Main,Midblock,A,4
10034,SB,18,Main,Midblock,A,4
10034,SB,19,Main,Midblock,A,4
10034,SB,20,Main,Midblock,A,4
10034,NB,8,Main,Image,A,3
10034,NB,9,Main,Image,A,3
10034,NB,10,Main,Image,A,3
10034,EB,5,Side,Image,B,3
10034,EB,6,Side,Image,C,3
10034,EB,7,Side,Image,C,3
10034,WB,11,Side,Image,B,4
10034,WB,12,Side,Image,C,4
10034,WB,13,Side,Image,C,4
10034,WB,14,Side,Image,C,4
10035,SB,1,Main,Image,A,3
10035,SB,2,Main,Image,A,3
10035,SB,3,Main,Image,A,3
10035,SB,17,Main,Midblock,A,3
10035,SB,18,Main,Midblock,A,3
10035,SB,19,Main,Midblock,A,3
10035,NB,7,Main,Image,A,3
10035,NB,8,Main,Image,A,3
10035,NB,9,Main,Image,A,3
10035,NB,21,Main,Midblock,A,4
10035,NB,22,Main,Midblock,A,4
10035,NB,23,Main,Midblock,A,4
10035,NB,24,Main,Midblock,A,4
10035,EB,4,Side,Image,B,3
10035,EB,5,Side,Image,B,3
10035,EB,6,Side,Image,B,3
10036,SB,1,Main,Image,A,3
10036,SB,2,Main,Image,A,3
10036,SB,3,Main,Image,A,3
10036,NB,7,Main,Image,A,3
10036,NB,8,Main,Image,A,3
10036,NB,9,Main,Image,A,3
10036,NB,21,Main,Midblock,A,3
10036,NB,22,Main,Midblock,A,3
10036,NB,23,Main,Midblock,A,3
10036,EB,4,Side,Image,B,3
10036,EB,5,Side,Image,B,3
10036,EB,6,Side,Image,C,3
10036,WB,10,Side,Image,B,2
